id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
578,Brazil Nuts,,28,28,1852,1948,0.15,0.3
580,Cheshire Cheese,,91,91,1865,1974,0.15,0.35
589,Breakfast Rolls,,42,46,1899,1967,0.0,0.3
628,Fried Whiting,,26,26,1900,1917,0.0,45.0
632,Flannel Cakes,,28,28,1889,1937,0.1,0.3
640,Mutton Stew,,24,24,1899,1906,0.1,0.15
641,Broiled Lamb Chops,,76,79,1891,1967,0.0,5.25
647,Fried Bananas,,57,57,1886,1975,0.25,0.4
650,Boiled potato,,74,74,1893,1965,0.05,0.7
651,Currant Buns,,54,54,1896,1965,0.05,0.1
653,Waffle,,28,28,1900,1969,0.0,0.8
668,Potato Chips,,24,24,1900,1987,0.15,0.75
675,Egg Muffins,,26,26,1900,1907,0.1,0.15
678,Coffee Cake,,129,135,1893,1987,0.05,5.0
684,Pettijohn,,10,10,1901,1949,0.2,0.2
695,Onions,,159,161,1852,1987,0.0,0.5
697,Maple Syrup,,146,146,1896,1962,0.0,0.1
699,Fried Fresh Fish,,71,71,1897,1943,0.35,0.8
715,Broiled Lobster,,107,115,1887,1961,0.0,60.0
728,Veal Cutlets Breaded,,13,13,1895,1907,0.5,0.5
730,Little Neck Clams on the Shell,,11,11,1895,1900,0.25,0.25
738,Potatoes Saute,,101,105,1881,1973,0.1,0.4
741,Eclairs,,139,156,1898,1987,0.0,25.0
743,Pies,,132,139,1887,1987,0.05,1.25
747,Hot Biscuits,,40,42,1898,1959,0.0,0.15
748,Bloaters,,40,40,1900,1970,0.5,0.5
754,Jelly omelette,,95,102,1900,1985,0.0,25.0
765,Smoked Tongue,,122,122,1859,1963,0.2,2.65
773,"Moet & Chandon, Brut",,10,10,1892,1914,1.75,5.0
774,Irroy Brut,,25,25,1892,1906,1.75,4.0
781,Bisque of Crawfish,,18,18,1889,1924,0.25,0.45
789,Red Head Duck,,90,91,1882,1907,0.6,250.0
791,Fancy Ice Cream,,161,161,1887,1953,0.25,0.5
804,Broiled Chicken on Toast,,37,37,1900,1915,0.5,1.0
810,Hamburg Steak with Onions,,20,20,1900,1941,0.35,0.75
817,Eels,,19,19,1880,1914,0.15,0.5
821,Lemon Soda,,188,191,1890,1953,0.05,10.0
823,Clysmic,,166,168,1892,1928,0.15,40.0
827,Buffalo Lithia Water,,14,14,1900,1907,0.05,0.6
830,Roast Duck,,85,85,1892,1993,0.0,15.25
832,Hunyadi,,29,30,1891,1933,0.1,40.0
834,Cabbage,,127,134,1852,1980,0.0,20.0
836,Russet Cider,,35,36,1881,1915,0.05,0.75
839,Londonderry Lithia,,92,92,1895,1913,0.15,40.0
844,Liver,,21,21,1892,1971,0.0,0.35
854,Steak,,32,34,1884,1961,0.0,30.0
856,Wiener Schnitzel,,88,95,1899,1992,0.0,4.0
858,Calves' Liver and Bacon,,15,15,1900,1912,0.15,0.7
867,Oyster Patties,,174,179,1865,1938,0.1,50.0
875,Boiled and Mashed Potatoes,,61,62,1891,1912,0.05,0.15
878,Blackberry Pie,,118,121,1854,1958,0.05,5.0
882,Crackers and Cheese,,104,107,1881,1946,0.0,0.15
891,"Veal Cutlets, Tomato Sauce",,57,57,1858,1910,0.25,35.0
896,Stewed French prunes,,27,27,1892,1943,0.1,5.0
897,Florida oranges,,16,16,1884,1907,0.15,0.3
899,Sliced bananas with cream,,117,121,1900,1961,0.0,10.0
905,Shrewsburys,,15,15,1895,1912,0.25,0.7
913,Codfish Balls,,44,44,1856,1910,0.15,0.6
929,Corned beef hash browned,,37,37,1898,1921,0.15,1.0
931,Anchovis,,172,173,1899,1915,0.0,0.2
938,Leberwurst,,186,187,1899,1965,0.0,0.5
947,Sardelles,,80,80,1897,1939,0.3,0.65
948,Fried Tom Cod,,12,12,1900,1918,0.3,0.3
950,Pickled Herrings,,65,66,1899,1950,0.4,0.4
965,Plum Tart,,13,13,1900,1985,0.1,6.0
967,Oysters a la Poulette,,112,113,1881,1957,0.3,50.0
968,Vermicelli Pudding,,29,29,1900,1933,0.2,25.0
973,Sausages,,60,61,1853,1967,0.0,3.25
977,Rock and Rye,,33,33,1900,1965,0.1,2.0
979,Old Crow Whiskey,,23,23,1884,1918,0.1,2.5
981,Mount Vernon Whiskey,,19,19,1900,1950,0.1,2.5
985,Hominy Fritters,,25,26,1893,1969,0.2,0.2
987,Beef Steak and Onions,,10,10,1900,1901,0.4,0.4
988,Old Tom Gin,,155,156,1873,1941,0.0,150.0
992,Blackberry Brandy,,133,134,1882,1985,0.0,3.0
1001,Gilka Kummel,,41,42,1900,1962,0.15,15.0
1002,Rhine Wine,,87,92,1892,1963,0.1,4.0
1003,Port Wine,,52,55,1892,1958,0.1,3.5
1004,Lobster Croquettes,,78,78,1883,1907,0.3,1.0
1007,Milk Punch,,110,111,1856,1962,0.0,15.0
1008,Milk Punch with egg,,10,11,1900,1944,0.15,0.65
1010,Claret Punch,,149,150,1856,1962,0.0,15.0
1012,Manhattan Cocktail,,188,197,1899,1968,0.0,1.25
1015,Whiskey Cocktail,,38,40,1856,1938,0.0,1.25
1017,Broiled Sirloin Steak,,90,99,1880,1983,0.6,60.0
1023,Soups,,93,93,1898,1987,0.05,1.65
1024,Fish,,101,102,1851,1985,0.0,2.25
1027,Erdbeeren,,19,19,1899,1959,0.0,0.75
1034,Anchovies on Toast,,99,100,1892,1957,0.2,40.0
1037,Caviar on Toast,,135,138,1890,1940,0.0,35.0
1040,Lyon Sausage,,183,193,1886,1955,0.2,30.0
1044,porridge,,56,63,1892,1987,0.0,20.0
1047,Roast capon,,99,99,1880,1939,0.75,6.0
1050,Tutti-frutti ice cream,,74,75,1892,1971,0.15,25.0
1066,G. H. Mumm's Extra Dry,,122,124,1881,1973,1.6,30.75
1067,Grilled chicken,,39,40,1899,1921,1.25,2.5
1068,Piper Heidsieck,,89,89,1881,1967,0.0,25.0
1074,Delmonico steak,,17,17,1901,1940,0.5,55.0
1080,Julienne,,179,198,1882,1961,0.1,35.0
1082,Caviare,,86,85,1888,1906,0.4,0.5
1088,New asparagus,,141,148,1889,1948,0.0,50.0
1092,Fry in butter,,11,12,1900,1918,0.35,0.6
1098,Creamed toast,,13,13,1900,1939,0.15,0.35
1100,Kennebec salmon,,41,42,1892,1914,0.3,2.25
1106,Cheddar,,58,62,1881,1973,0.0,1.0
1112,Madeira,,92,96,1882,1987,0.0,3.5
1114,Oporto,,24,26,1883,1918,0.0,11.25
1117,Scallops,,66,66,1894,1939,0.25,1.25
1120,Soda Water,,127,127,1883,1967,0.0,0.6
1124,Ginger Beer,,20,22,1900,1987,0.0,1.0
1126,New Dill Pickles,,52,53,1900,1985,0.05,0.5
1149,Roast,,32,33,1851,1972,0.4,2.0
1151,Barbera,,11,11,1896,1962,0.0,5.0
1152,Chicken with Okra,,16,17,1892,1900,0.1,0.6
1154,Barolo,,11,11,1892,1958,0.0,12.0
1156,Leg of Mutton,,38,40,1865,1910,0.15,0.6
1157,Capri,,10,13,1900,1962,0.5,5.0
1158,Vegetables,,105,121,1891,1985,0.0,0.45
1159,Stewed Celery,,98,103,1893,1959,0.05,0.6
1160,Marsala,,27,31,1893,1963,0.0,3.0
1165,Cup of Consomme,,36,37,1893,1939,0.1,0.25
1172,Cup of Beef Tea,,27,27,1900,1914,0.05,0.35
1174,Hors d'Oeuvres,,108,112,1885,1974,0.0,20.0
1175,Croute-au-Pot,,28,33,1896,1962,0.2,40.0
1178,Green Turtle,,94,94,1884,1961,0.0,50.0
1181,Pea Soup,,117,118,1856,1943,0.0,25.0
1184,Cup of Clam Broth,,89,98,1893,1962,0.05,20.0
1190,Chateau Margaux,,64,65,1851,1920,0.0,17.0
1197,Mulligatawny,,38,42,1886,1958,0.0,0.5
1198,Whitebait,,155,158,1882,1935,0.0,40.0
1199,"Pork, Apple Sauce",,10,10,1900,1901,0.2,0.4
1200,"Turkey, Cranberry Sauce",,107,107,1882,1914,0.3,80.0
1201,Shad Roe with Bacon,,38,40,1892,1940,0.2,60.0
1209,"Tea, Pot",,145,146,1898,1977,0.0,20.0
1210,"Lettuce, French dressing",,71,71,1890,1928,0.1,0.35
1212,"Coffee, Pot",,164,173,1898,1969,0.05,1000.0
1213,Pudding,,56,70,1900,1971,0.0,10.0
1216,Bonbons,,123,124,1880,1965,0.25,0.25
1217,Goblet of Milk,,37,37,1892,1906,0.05,0.1
1219,Cheese and Crackers,,182,193,1891,1987,0.15,0.75
1222,Waffles,,146,147,1858,1965,0.0,30.0
1228,"Oranges, each",,54,55,1900,1917,0.05,0.5
1229,"Pears, each",,12,12,1900,1900,0.1,0.1
1232,Compote of Assorted Fruits,,37,37,1900,1969,0.45,1.25
1241,Biscuits,,158,159,1888,1987,0.0,1.5
1249,Ginger,,132,134,1899,1962,0.05,0.3
1252,Chocolade,,146,146,1899,1913,0.0,1.5
1258,MAYONNAISE OF CHICKEN,,94,94,1858,1964,0.0,1.1
1264,SLICED APPLE PIE,,33,33,1893,1921,0.1,0.2
1267,WASHINGTON CREAM PIE,,17,17,1895,1940,0.25,0.25
1274,Mettwurst,,143,143,1899,1910,0.25,0.25
1281,NEW YORK ICE CREAM,,31,31,1883,1932,0.1,0.25
1301,"Chocolate, pot",,79,80,1898,1948,0.1,25.0
1302,Cafe Turque,,32,34,1895,1972,0.0,1.4
1314,Broiled Striped Bass,,36,37,1900,1967,0.35,3.0
1315,Broiled Finnan Haddie,,34,34,1900,1963,0.0,2.6
1316,Broiled Smoked Salmon,,29,30,1859,1907,0.35,1.0
1325,"Oysters, half shell",,20,21,1890,1939,0.15,10.0
1330,"Little Neck clams, half shell",,43,44,1884,1943,0.15,20.0
1331,Steamed clams,,119,121,1892,1980,0.25,60.0
1333,"Lobster, plain",,84,85,1854,1914,0.25,1.0
1334,Veal Cutlet Breaded,,42,42,1889,1944,0.15,1.25
1345,Scotch,,80,83,1892,1989,0.0,75.0
1351,Holland Gin,,131,132,1856,1947,0.1,200.0
1353,Old Jamaica Rum,,16,16,1873,1901,0.15,3.0
1355,Broiled sardines on toast,,65,65,1899,1941,0.2,0.7
1356,Medford Rum,,47,48,1881,1917,0.1,2.0
1357,"Roast Loin of Jersey Pork, Apple Sauce",,16,16,1901,1949,0.2,3.0
1358,Antediluvian,,34,35,1900,1919,0.1,3.0
1359,Steamed,,25,29,1900,1975,0.25,0.6
1360,Stew,,35,42,1900,1919,0.15,35.0
1367,Orange Bitters,,47,48,1895,1917,0.1,15.0
1372,Creme Yvette,,99,100,1896,1961,0.15,15.0
1374,"Chartreuse, green",,145,149,1891,1962,0.1,1.5
1390,Brandy peaches,,150,155,1865,1940,0.15,50.0
1396,CORDIALS,,45,45,1865,1989,0.13,1.25
1399,Brandy pears,,61,61,1898,1907,0.2,0.4
1402,Brandy figs,,34,34,1887,1907,0.2,0.5
1403,Clam Soup,,25,26,1892,1933,0.1,0.5
1404,PILSNER,,22,24,1899,1939,0.0,0.9
1405,Omelette au rhum,,110,114,1892,1969,0.0,45.0
1411,English plum pudding,,38,39,1890,1941,0.05,0.6
1421,Younger's Scotch Ale,,50,50,1866,1918,0.25,0.6
1422,"Bass Ale, Dog's Head",,107,109,1898,1928,0.15,0.4
1424,Guinness's Stout,,72,74,1891,1968,0.1,1.85
1427,Ale,,91,91,1866,1963,0.0,0.6
1428,"Ginger Ale, Domestic",,63,65,1892,1943,0.1,0.3
1429,"Ginger Ale, Imported",,68,68,1882,1917,0.15,0.35
1431,Plain Soda,,61,61,1892,1916,0.1,2.0
1437,Brandy,,145,158,1865,1977,0.0,70.0
1439,Marcobrunner,,72,73,1852,1917,0.9,5.0
1440,Ruedesheimer Berg,,19,25,1892,1914,0.75,18.25
1442,BURGUNDY,,129,142,1882,1987,0.1,8.0
1447,Vino de Pasto,,67,67,1865,1918,0.3,14.75
1450,Chateau Yquem,,132,137,1865,1959,1.0,250.0
1451,Vin de Graves,,17,17,1885,1914,0.5,1.5
1452,Barsac,,88,92,1881,1978,0.0,10.5
1455,Clos de Vougeot,,62,62,1856,1987,1.5,6.0
1459,The,,60,70,1889,1993,0.0,25.0
1461,Nuits,,110,110,1864,1917,0.0,200.0
1466,Macon,,166,175,1865,1966,0.0,100.0
1468,Chateau Leoville,,56,57,1851,1918,1.0,18.5
1469,Chateau La Rose,,52,53,1851,1914,0.0,15.0
1475,St. Estephe,,138,138,1881,1943,0.0,65.0
1479,Cook's Imperial,,168,170,1882,1949,1.0,6.5
1481,Ruinart Brut,,131,135,1889,1928,1.0,400.0
1483,Moet & Chandon,,131,132,1862,1963,0.0,400.0
1484,"Veuve Clicquot, Yellow Label",,137,137,1882,1917,1.4,400.0
1486,"Pommery & Greno, Sec",,91,91,1881,1947,0.0,32.25
1487,"G. H. Mumm & Co., Extra Dry",,66,66,1891,1914,0.0,5.5
1489,Dry Monopole,,77,79,1881,1948,1.6,16.0
1492,with onions,,19,20,1900,1918,0.2,2.7
1493,with mushrooms,,22,67,1900,1920,0.25,250.0
1494,Chateaubriant,,59,60,1900,1944,0.0,3.75
1498,Double porterhouse steak,,39,39,1900,1918,1.0,140.0
1500,Smoked Ham,,105,109,1898,1987,0.0,2.95
1501,Oysters au gratin,,52,59,1892,1955,0.5,2.5
1503,"Bacon, broiled or fried",,14,14,1899,1914,0.25,0.4
1513,tomato sauce,,63,69,1882,1980,0.1,3.35
1516,"English mutton chops, brace",,21,21,1892,1908,0.4,0.9
1521,Crescents,,110,113,1895,1965,0.0,0.1
1524,Eggs,,75,79,1900,1985,0.15,1.5
1535,Codfish,,57,57,1865,1917,0.2,50.0
1539,Tenderloin steak a la Bordelaise,,44,44,1889,1918,0.5,2.0
1540,Tenderloin steak mushrooms,,15,15,1893,1906,0.4,1.25
1541,Tenderloin steak a la Bearnaise,,54,54,1884,1921,0.75,2.0
1542,Broiled spring chicken half,,12,12,1898,1920,0.4,1.15
1543,Philadelphia squab,,122,124,1882,1924,0.4,60.0
1547,Porterhouse steak mushrooms,,13,13,1898,1906,0.8,2.5
1548,Lamb chops (3),,60,61,1898,1943,0.3,1.45
1550,Mutton chops (2),,91,91,1898,1941,0.15,40.0
1551,Grouse,,81,81,1854,1948,0.6,300.0
1552,Partridge,,79,90,1865,1958,0.65,250.0
1553,Cold,,23,24,1900,1978,0.1,0.25
1554,English pheasant,,28,32,1884,1917,1.75,5.0
1556,Scotch grouse,,23,24,1899,1935,0.0,4.5
1564,Corn fritters,,184,185,1889,1962,0.1,30.0
1565,Flageolets,,118,134,1882,1971,0.0,40.0
1566,French artichoke,,20,20,1893,1913,0.35,0.6
1567,Stuffed peppers,,49,49,1865,1959,0.1,40.0
1568,Egg plant,,189,190,1865,1955,0.0,25.0
1569,Sardine,,81,84,1892,1955,0.0,95.0
1574,Sorbets,,25,27,1893,1993,0.0,3.25
1581,French asparagus,,185,188,1889,1915,0.1,100.0
1590,Sweet corn,,100,100,1858,1946,0.0,10.0
1594,Cepes Bordelaise,,52,56,1892,1969,0.0,1.4
1598,Sweet potato,,16,16,1893,1946,0.25,0.3
1604,Whole Broiled Spring Chicken,,17,17,1900,1950,0.5,3.5
1617,Orange Custard Pie,,62,64,1895,1937,0.0,0.35
1619,Cherry Tarts,,20,20,1882,1916,0.2,20.0
1620,Vanilla Eclairs,,70,70,1892,1943,0.05,10.0
1621,Port du Salut,,172,188,1891,1969,0.0,25.0
1626,Gervais,,145,178,1896,1976,0.0,30.0
1630,Fresh Artichokes,,73,74,1898,1960,0.2,0.95
1632,Beef tongue,,141,144,1881,1955,0.15,40.0
1638,Pauillac,,12,13,1882,1939,0.0,2.0
1641,Chianti,,176,184,1884,1969,0.0,20.0
1648,Louis Roederer,,21,23,1893,2012,0.0,7.0
1651,Fruit sauce,,13,13,1900,1961,0.05,0.05
1659,Bermuda Onions,,90,91,1884,1921,0.05,0.4
1669,"Spaghetti, Italienne",,108,108,1892,1958,0.1,15.0
1671,Rudesheimer Berg,,32,33,1892,1917,0.75,18.0
1672,Baked macaroni,,32,32,1892,1955,0.1,0.5
1673,Oloroso,,54,55,1881,1918,0.2,16.0
1681,Brauneberger,,119,134,1865,1919,0.0,150.0
1688,Erdener Treppchen,,89,99,1892,1928,0.0,3.25
1692,Vino Chianti,,12,12,1898,1914,0.35,1.25
1693,"Filet of sole, Tartare",,10,10,1901,1937,0.0,45.0
1709,"Omelette, with tomatoes",,38,38,1882,1914,0.2,0.5
1711,"Omelette, with ham",,56,56,1882,1914,0.2,40.0
1715,"Omelette, with bacon",,14,14,1892,1907,0.35,0.6
1723,Pitcher of cream,,15,15,1900,1937,0.0,0.3
1731,Shad roe,,60,60,1892,1980,0.25,6.5
1734,Russian caviar,,180,188,1889,1969,0.0,2.25
1735,"VEUVE CLICQUOT, BRUT",,10,10,1899,1907,0.0,4.5
1740,POMMERY,,41,42,1884,2012,0.0,20.0
1741,American Peas,,65,66,1892,1918,0.1,25.0
1745,Filet of Sole au Vin Blanc,,21,21,1892,1943,0.3,2.0
1748,French olives,,71,72,1865,1907,0.1,15.0
1751,Fried Halibut,,42,45,1887,1945,0.0,0.7
1752,Fresh mushrooms,,141,143,1891,1949,0.0,2.5
1753,Russian salad,,83,82,1891,1981,0.15,100.0
1754,CHAMPAGNE,,181,190,1864,1987,0.25,8.0
1756,Fried onions,,163,166,1887,1961,0.0,10.0
1757,Macedoine salad,,142,142,1893,1921,0.2,50.0
1758,Spanish olives,,185,187,1859,1973,0.0,15.0
1760,Pate de foie-gras,,116,122,1880,1917,0.25,75.0
1764,Canvas Back Duck,,37,37,1854,1907,0.9,5.0
1771,Gerkins,,15,15,1895,1908,0.1,0.15
1772,Small steak tomato sauce,,15,15,1894,1900,0.25,40.0
1775,Small steak with onions,,61,61,1892,1941,0.2,50.0
1781,Small steak with bacon,,14,14,1900,1917,0.6,60.0
1786,Small sirloin,,52,52,1900,1957,0.0,2.25
1790,Half Broiled Chicken,,83,84,1895,1987,0.0,9.0
1793,Whole Broiled Chicken,,15,15,1889,1938,0.6,2.5
1794,Small sirloin with onions,,16,16,1900,1914,0.25,0.9
1797,Broiled Ham or Bacon,,39,40,1899,1945,0.2,45.0
1799,BROILED LIVE LOBSTER,,106,106,1892,1970,0.35,75.0
1808,Broiled Honeycomb Tripe,,34,34,1887,1919,0.25,0.55
1810,Vichy,,69,69,1865,1978,0.0,25.0
1812,Extra sirloin,,68,70,1882,1941,0.3,160.0
1813,Country Sausage,,140,144,1893,1989,0.0,15.0
1814,Extra sirloin with mushrooms,,21,21,1893,1913,0.4,3.5
1815,Broiled Kidneys,,40,41,1858,1913,0.25,0.6
1818,"Stewed Kidneys, Wine Sauce",,14,14,1865,1907,0.35,0.5
1819,Small tenderloin,,52,52,1900,1962,0.0,3.25
1820,Large tenderloin,,13,13,1900,1948,0.75,3.5
